Date,Open,High,Low,Close,Adj Close,Volume
2016-01-04,148.050003,148.320007,145.399994,146.820007,140.412964,3277200
2016-01-05,146.820007,147.5,145.610001,147.46000700000002,141.025009,2688100
2016-01-06,145.58999599999999,145.759995,143.419998,144.490005,138.184631,2997100
2016-01-07,142.520004,143.130005,140.630005,140.970001,134.818207,3553500
2016-01-08,141.360001,142.5,140.220001,140.490005,134.359177,2664000
2016-01-11,140.970001,141.429993,139.41000400000001,140.46000700000002,134.33049,2770300
2016-01-12,141.360001,142.149994,139.130005,140.860001,134.713028,2363500
2016-01-13,140.889999,142.190002,138.53999299999998,138.720001,132.666428,2598300
2016-01-14,139.740005,142.440002,138.860001,141.179993,135.019058,3720400
2016-01-15,138.300003,140.100006,137.21000700000002,138.690002,132.63772600000001,4683500
2016-01-19,140.100006,140.800003,137.41000400000001,138.389999,132.35083,3399800
2016-01-20,136.949997,137.75,134.639999,136.96000700000002,130.983215,4136300
2016-01-21,136.96000700000002,138.669998,136.149994,137.759995,131.748306,3355200
2016-01-22,140.139999,140.429993,138.080002,139.520004,133.431503,2979100
2016-01-25,138.96000700000002,139.369995,137.529999,137.570007,131.566605,2805500
2016-01-26,141.78999299999998,145.020004,140.330002,144.779999,138.461975,5125800
2016-01-27,144.949997,147.970001,144.050003,145.550003,139.198349,3596400
2016-01-28,146.16000400000001,147.83999599999999,145.220001,147.320007,140.891113,3067400
2016-01-29,148.240005,151.0,148.0,151.0,144.410538,3993200
2016-02-01,149.330002,149.78999299999998,148.100006,148.729996,142.239609,2701500
2016-02-02,147.58999599999999,148.279999,146.050003,147.869995,141.41713000000001,3581800
2016-02-03,149.360001,152.850006,148.96000700000002,152.520004,145.864212,5766800
2016-02-04,152.419998,154.380005,151.779999,153.440002,146.744034,3401900
2016-02-05,153.199997,153.880005,151.820007,153.470001,146.772736,3368500
2016-02-08,151.630005,154.429993,151.009995,153.899994,147.183975,2505400
2016-02-09,152.949997,155.759995,152.449997,154.740005,147.98731999999998,2951000
2016-02-10,154.429993,155.490005,152.119995,152.449997,146.850677,2911900
2016-02-11,149.91000400000001,152.0,149.0,150.669998,145.13601699999998,3182200
2016-02-12,150.669998,154.070007,150.669998,153.96000700000002,148.305206,2292200
2016-02-16,155.0,155.899994,154.259995,155.529999,149.81752,2140600
2016-02-17,156.0,157.130005,155.600006,156.619995,150.86750800000002,2156100
2016-02-18,156.350006,156.970001,155.970001,156.779999,151.021622,2010200
2016-02-19,157.0,157.08999599999999,155.869995,156.449997,150.70373500000002,2121300
2016-02-22,156.449997,158.479996,156.449997,157.699997,151.907837,2207600
2016-02-23,157.630005,157.690002,155.169998,156.169998,150.434006,1922800
2016-02-24,154.83999599999999,157.619995,153.639999,157.220001,151.44548,1937800
