Date,Open_Actual,Open_Forecasted,Open_Uncertainity,Close_Actual,Close_Forecasted,Close_Uncertainity,High_Actual,High_Forecasted,High_Uncertainity,Low_Actual,Low_Forecasted,Low_Uncertainity
2017-09-05,202.25,204.80908380040708,,201.051,203.5859484808221,,202.53,205.20801743143434,,200.51,203.2177298022041,
2017-09-06,201.75,202.46183215472175,,202.05,200.5675072855849,,202.25,202.0796825115587,,201.24,200.32878559099538,
2017-09-07,201.47,201.5524379801534,,204.46,202.46096801063206,,204.71,202.02130193092768,,201.47,201.37748745570983,
2017-09-08,204.35,202.19720400095383,,205.69,204.74746634352925,,206.12,205.5658444778126,,203.16,202.14580906841974,
2017-09-11,206.46,204.69120009829103,,209.56,206.2840892766508,,209.78,206.41769748055484,,206.09,203.1418290507971,
2017-09-12,209.91,206.9006773176521,,209.64,209.69662121615846,,210.96,210.4821755123516,,209.26,206.2255638482592,
2017-09-13,209.12,210.01023244863526,,209.49,209.49932160255466,,210.29,210.96945491923435,,208.57,209.30239464374085,
2017-09-14,209.15,209.18823943442314,,211.43,209.85018837794257,,211.91,210.20693215889,,208.74,208.79904833549213,
2017-09-15,212.59,209.16307412440685,,213.35,211.18747128146578,,214.12,211.83765306021502,,210.66,208.8066498129384,
2017-09-18,214.0,212.89755144981538,,213.76,213.67141371325903,,214.04,214.35755613170616,,212.57,210.824748002392,
2017-09-19,214.23,214.30215468266667,,213.56,214.74589231078107,,214.65,214.54789108772218,,212.85,213.33841585281579,
2017-09-20,211.77,214.36589476416327,,210.51,213.3082940686838,,212.6,214.7807827321371,,208.31,212.72991691461334,
2017-09-21,210.9,211.3855611919756,,210.44,210.33418545365205,,211.62,212.7530982314127,,210.24,208.29772980220412,
2017-09-22,209.64,210.58128463052643,,210.76,209.82184919506446,,211.3,211.1837308755902,,209.28,210.05878559099543,
2017-09-25,210.98,208.93162842305432,,210.73,211.21570572486723,,211.22,211.12411811093966,,209.37,209.4174874557098,
2017-09-26,211.26,211.31577523639183,,211.03,211.41824878435403,,212.83,211.92989425874123,,210.93,210.04580906841977,
2017-09-27,211.09,211.22814978157348,,209.48,211.21526838837434,,211.38,213.05925344270133,,208.16,210.9118290507971,
2017-09-28,208.3,211.22713158072585,,209.55,209.52208805704777,,209.88,211.69035929030812,,208.25,208.29556384825918,
2017-09-29,209.06,208.09775091381266,,209.9,209.3735094003573,,209.9,209.520139732574,,208.73,208.29239464374086,
2017-10-02,210.73,209.0853466723627,,212.76,209.98784510390274,,212.79,209.87283557466287,,210.03,208.95904833549213,
2017-10-03,212.62,210.92443392389166,,214.57,213.1166521298025,,214.6,213.15449739726688,,211.38,210.09664981293838,
2017-10-04,214.85,213.20331833055548,,216.52,214.9673172401853,,216.94,215.24815033487417,,214.5,211.544748002392,
2017-10-05,216.49,215.5606256545912,,216.37,217.49876462848684,,217.61,217.8363083658231,,215.9,215.26841585281582,
2017-10-06,216.0,217.13066461735633,,216.52,216.07822117565797,,216.54,217.7694893063464,,215.27,215.77991691461332,
2017-10-09,,216.17256030340621,1.3991384097268131,,216.4401546795843,1.4410708551702545,,216.48750868544812,1.2618519292555954,,215.25772980220415,1.4758347809558283
2017-10-10,,216.37946790817813,1.9786805146727835,,215.79858963844984,2.0379819477223684,,215.78160927845178,1.7845281120599181,,215.07651539319951,2.0871455630496585
2017-10-11,,216.13368806627295,2.4233788124679614,,216.47299199164166,2.496007938461612,,215.34276034335193,2.1855916530995,,215.21400284890936,2.5562208241927795
2017-10-12,,216.7563777010366,2.7982768194536263,,216.76851763559478,2.882141710340509,,215.9285597010165,2.523703858511191,,215.8898119173291,2.9516695619116566
2017-10-13,,216.89381525633,3.1285685940801073,,216.92012498724773,3.2223323925544434,,216.1516801078155,2.8215866913547667,,215.8716409681262,3.300066893775744
2017-10-16,,217.08055370523718,3.4271751833597968,,217.1015216581608,3.5298882783633214,,216.7496000456821,3.090893357622745,,216.0072048163854,3.6150421579939596
